book	entry	book_title_serbian	scripture_refs	situation_syriac	scripture_syriac	situation_greek_retroversion	scripture_greek_retroversion	situation_serbian	scripture_serbian
2	34	Против помисли блуда	Прич. 1, 26–27.	ܠܕ ܠܘܩܒܠ ܕܝܘܐ ܕܙܢܝܘܬܐ ܕܒܠܠܝܐ ܒܝܕ ܚܠܡܐ ܠܘܬ ܣܘܥܪܢܐ ܛܡܐܐ ‏ ܢܓܕܢܝ: ܘܒܐܝܡܡܐ ܬܘܒ ܒܝܕ ܚܘܫ̈ܒܐ ܡܚܣܕ ܠܢ ܘܓܚܟ ܥܠܝܢ܀	ܐܦ ܐܢܐ ܐܓܚܟ ܥܠ ܬܒܪܗܘܢ. ܘܐܚܕܐ ܡܐ ܕܐܬܐ ܥܠܝܗܘܢ ܕܠܘܚܝܐ ܘܐܒܕܢܐ ܡܢ ܫܠܝܐ ܘܬܒܪܗܘܢ ܐܝܟ ܥܠܥܠܐ ܢܐܬܐ	34. προς πορνειας δαιμονα εν τηι νυκτι προς μιαρον πραγμα δι’ ενυπνιου με ελκυσαντα (ερεθισαντα) και ημεραι παλιν δια λογισμων ημας ονειδι­ζοντα και ημιν ενυβριζοντα	+ καγω τηι απωλειαι αυτων επιγελασομαι και καταχα­ρουμαι ηνικα αν ερχηται αυτοις θορυβος και ολεθρος αφνω και η καταστροφη αυτων ως καταιγις .	Против демона блуда који ме ноћу кроз сан привлачи нечистим стварима, а дању ми се кроз помисли руга и подсмева:	Зато ћу се и ја смејати вашој невољи, ругаћу се кад вас обузме тескоба; кад као пустош дође чега се бојите, и погибао ваша као олуја кад дође, кад навали на вас невоља и мука.
2	35	Против помисли блуда	Прич. 5, 20.	ܠܗ ܠܘܩܒܠ ܚܘܫ̈ܒܐ ܕܐܠܨܝܢ ܠܢ ܕܢܓܪ ܒܡܡܠܠܐ ܥܡ ܐܢܬܬ ܓܒܪܐ: ܐܝܟ ܕܡܛܠ ܙܒ̈ܢܝܢ ܣ̈ܓܝܐܢ ܣܥܪܬܢ ܐܘ ܡܛܠ ܕܡܫܟܚܝܐ ܓܝܪ ܡܬܝܬܪܐ ܡܢܢ ܪܘܚܢܐܝܬ܀	ܠܐ ܬܓܪ ܨܝܕ ܢܘܟܪܝܬܐ.	35. προς λογισμους εγχρονιζειν εν διαλογωι (ομιλιαι) μετα γυναικος υπανδρου ημας βιαζοντας ως δη πυκνως ημας επισκεψασης η ως πνευματικως υφ’ ημων ωφελη­θησομενης	+ μη πολυς ισθι προς αλλοτριαν .	Против помисли које нас терају да се задржавамо у разговору с удатом женом под изговором да нас је често посећивала или да ће од нас имати духовну корист:	Немој остајати дуго с туђом женом.
2	36	Против помисли блуда	Прич. 6, 25–26.	ܠܘ ܠܘܩܒܠ ܪܥܝܢܐ ܕܡܬܨܝܪܐ ܒܙܘ ܕܡܘܬܐ ܕܫܘܦܪܐ ܕܐܢܬܬܐ: ܘܨܒܐ ܕܚܦܝܛܐܝܬ ܢܡܠܠ ܥܡܗܿ: ܐܘ ܕܢܣܥܘܪ ܒܝܫܬܐ ܡܕܡ ܕܐܝܬ ܗܘܐ ܦܘܪܣܐ ܕܠܐ ܢܗܘܐ: ܐܝܟ ܕܬܢܝ ܠܢ ܝܘܚܢܢ ܩܕܝܫܐ ܢܒܝܐ ܕܬܒܐܝܣ܀	ܠܐ ܬܐܪܓ ܫܘܦܪܐ ܕܐܢܬܬܐ ܒܠܒܟ. ܘܠܐ ܬܬܨܝܕ ܒ̈ܥܝܢܝܗ: ܘܠܐ ܬܫܒܝܟ ܒܬܡܪ̈ܝܗ. ܕܘܡܝܗ ܓܝܪ ܕܐܢܬܬܐ ܙܢܝܬܐ܆ ܐܝܟ ܓܪܝܨܬܐ ܗܝ ܕܠܚܡܐ.	36. προς λογισμον ομοιωμα καλλους γυναικος εν αυτωι φανταζοντα και σπου­δαιως μετ’ αυτης διαλεγεσθαι η ποιειν τι κακον ο παντως ου πρεπει γινεσθαι βου­λομενον ωσπερ διηγησατο ημιν ο αγιος Ιωαννης ο προφητης της Θηβαιδος	+ μη επιθυμησηις καλλους γυναικος εν τη καρδιαι σου μηδε αγρευθηις τοις οφθαλμοις αυτης μηδε αιχμαλωτευσηι σε τοις βλεφαροις αυτης· τιμη γαρ πορνης οση ενος αρτου .	Против ума који замишља лик лепе жене, желећи с њом искрено да разговара или да учини нешто порочно и недолично, као што нам је свети Јован, пророк Тиваидски, једном приликом испричао:	Не зажели у срцу свом лепоте њезине и немој да те ухвати веђама својим. Јер, цена блуднице је као један хлеб.
2	37	Против помисли блуда	Прич. 6, 27–29.	ܠܙ ܠܘܩܒܠ ܚܘܫܒܐ ܕܡܦܝܣ ܠܝ: ܕܡܕܡ ܠܐ ܚܣܪܝܢܢ ܡܢ ܚܙܬܗ ܕܐܢܬܬܐ ܙܢܝܬܐ܀	ܕܠܡܐ ܣܐܡ ܒܪܢܫܐ ܢܘܪܐ ܒܥܘܒܗ ܘܢܚ̈ܬܘܗܝ ܠܐ ܡܘܩܕ. ܐܘ ܕܠܡܐ ܡܗܠܟ ܓܒܪܐ ܥܠ ܓܘܡܖ̈ܐ ܕܢܘܪܐ ܘܪ̈ܓܠܘܗܝ ܠܐ ܡܬ̈ܟܘܝܢ. ܗܟܢܐ ܡܢ ܕܥܐܠ ܥܠ ܐܢܬܬ ܚܒܪܗ ܘܩܪܒ ܠܗ ܠܐ ܙܟܐ.	37. προς λογισμον αναπειθοντα με οτι ουδεν ελαττονουμεν (ζημιουμεθα) απο οψεως γυναικος πορνης	+ αποθησει τις πυρ εν κολπωι αυτου τα δε ιματια ου κατα­καυσει; η περιπατησει τις επ’ ανθρακων πυρος τους δε ποδας ου κατακαυσει; ουτως ο εισελθων προς γυναικα υπανδρον και εγγιζων αυτηι ουκ αθωιωθησεται .	Против помисли која ме убеђује да нам поглед блуднице неће нашкодити:	Може ли ко свезати ватру у своја недра и не спалити хаљину своју? Или може ли ко ходати по огњеном угљу и не спалити своје ноге? Тако ни онај који одлази к удатој жени неће бити без кривице.
2	38	Против помисли блуда	Прич. 17, 3.	ܠܚ ܠܘܩܒܠ ܢܦܫܐ ܕܠܐ ܝܕܥܐ ܥܠܬܐ ܕܢܣ̈ܝܘܢܐ: ܘܠܐ ܬܘܒ ܡܬܪܥܝܐ ܕܕܝܘܐ ܕܙܢܝܘܬܐ ܐܡܬܝ ܕܡܙܕܟܐ ܘܡܫܢܐ ܡܢܢ: ܢܟܦܘܬܐ ܓܡܝܪܬܐ ܫܒܩ ܒܢ܀	ܨܪܦܐ ܒܩܐ ܠܣܐܡܐ܆ ܘܟܘܪܐ ܠܕܗܒܐ. ܘܡܪܝܐ ܒܚܪ ܠܒܐ.	38. προς ψυχην την αιτιαν των πειρασμων ου γιγνωσκουσαν ουδε παλιν εννο­ουσαν οτι ο πορνειας δαιμων οταν νενικημενος ημων αποστηι σωφροσυνην τελειον εν ημιν καταλειπει	+ δοκιμιον δοκιμαζει τον αργυρον και καμινος τον χρυσον και ο κυριος τας καρδιας .	Против душе која не познаје разлог искушења и која не разуме да демон блуда – сваки пут кад је савладан и удаљи се од нас – оставља у нашем унутрашњем свету савршену целомудреност:	Као што се сребро и злато испитују у пећи, тако се и срца изабраника Божијих испробавају у невољама.
2	39	Против помисли блуда	Прич. 26, 11.	ܠܛ ܠܘܩܒܠ ܚܘܫܒܐ ܛܡܐܐ: ܕܡܫܕܠ ܘܡܦܢܐ ܠܢ ܬܘܒ ܠܘܬ ܚܛܝܬܐ: ܗܝ ܕܡܛܠܬܗ ܙܒ̈ܢܝܢ ܣܓ̈ܝܐܢ ܬܒܢܢ ܩܕܡ ܡܪܝܐ. ܀	ܐܝܟ ܟܠܒܐ ܕܗܦܟ ܥܠ ܬܝܘܒܗ܆ ܗܟܢܐ ܗܘ ܣܟܠܐ ܕܫܛܐ ܒܫܛܝܘܬܗ.	39. προς λογισμον ακαθαρτον δελεαζοντα και αποστρεφοντα ημας παλιν προς την αμαρτιαν υπερ ης πολλακις ενωπιον του κυριου μετενοουμεν	+ ωσπερ κυων επερχομενος επι τον αυτου εμετον ουτως αφρων εν τηι μωριαι αυτου .	Против нечисте помисли која нас мами и враћа оном греху због којег смо се много пута преумили пред Богом:	Као што се пас враћа на своју бљувотину, тако се безумник у својој порочности враћа своме греху.
2	40	Против помисли блуда	Проп. 7, 4.	ܡ ܠܘܩܒܠ ܚܘܫܒܐ ܕܡܝܬܐ ܠܢ ܥܘܗܕܢܐ ܕܒܝܬܐ: ܗܘ ܕܒܗ ܦܐܪ̈ܐ ܣ̈ܓܝܐܐ ܝܗܒܢ ܚܢܢ ܠܣܛܢܐ. ܀	ܠܒܐ ܕܚܟ̈ܝܡܐ ܒܝܬ ܐܒܠܐ. ܘܠܒܐ ܕܣ̈ܟܠܐ ܒܝܬ ܚܕܘܬܐ.	40. προς λογισμον μνημην ημιν προσαγοντα της οικιας εν ηι πολλους καρπους εδωκαμεν τωι σατανα	+ καρδια σοφων εν οικωι πενθους και καρδια αφρονων εν οικωι ευφροσυνης .	Против помисли која нас подсећа на кућу у којој смо многе плодове принели Сатани:	Срце мудрих је у кући жалости, а срце безумних у кући весеља.
2	41	Против помисли блуда	Проп. 10, 4.	ܡܐ ܠܘܩܒܠ ܢܦܫܐ ܕܦܓܥܐ ܒ̈ܢܣܝܘܢܐ ܕܚܘܫ̈ܒܐ ܛܡ̈ܐܐ: ܘܠܐ ܒܥܝܐ ܕܬܪܕܘܦ ܐܢܘܢ ܒܝܕ ܟܦܢܐ ܘܨܗܝܐ: ܘܫܗܪܐ ܘܨܠܘܬܐ܀	ܐܢ ܪܘܚܐ ܕܫܠܝܛܐ ܬܣܩ ܥܠܝܟ܆ ܐܬܪܟ ܠܐ ܬܫܒܘܩ. ܡܛܠ ܕܐܣܝܘܬܐ ܫܒܩܐ ܚ̈ܛܗܐ ܣ̈ܓܝܐܐ.	41. προς ψυχην πειρασμοις ακαθαρτων λογισμων συντυχουσαν και αποκρουεσθαι αυτους δια λιμου και διψους και αγρυπνιας και προσευχης ου ζητουσαν	+ εαν πνευμα του εξουσιαζοντος αναβηι επι σε τοπον σου μη αφηις οτι ιαμα κτλ .	Против душе која набасава на искушења нечистих помисли и која не жели да их одагна грађу, жеђу, бдењем и молитвом:	Ако се подигне на те гнев онога који влада, не остављај места својега, јер благост уклања велике грехе.
2	42	Против помисли блуда	Пнп. 1, 6.	ܡܒ: ܠܘܬ ܡܠܐ̈ܟܐ ܩ̈ܕܝܫܐ܆ ܡܛܠ ܚܘܫ̈ܒܐ ܛܡ̈ܐܐ ܕܐܓܪܘ ܒܢܦܫܐ܀	ܠܐ ܬܚܙܘܢܢܝ ܕܐܘܟܡܢܐ ܕܐܘܟܡܢܝ ܫܡܫܐ.	42. προς αγιους αγγελους περι ακαθαρτων λογισμων εν τηι ψυχηι εμμε­νοντων	+ μη βλεψητε με οτι εγω ειμι μεμελανωμενη οτι συνεκαυσε με ο ηλιος .	Светим анђелима поводом нечистих помисли које пребивају у нашој души:	Не гледајте ме што сам црна, јер ме је сунце опалило.
2	43	Против помисли блуда	Јов. 1, 5.	ܡܓ: ܠܘܩܒܠ ܢܦܫܐ ܕܣܒܪܐ ܠܗ ܕܠܒܪ ܡܢ ܟܝܢܗ ܗܝ ܗܕܐ: ܕܬܛܪ ܠܪܥܝܢܐ ܚܪܝܦܐ ܕܠܐ ܢܙܢܐ ܒܬܪܥܝܬܗ܀	ܐܡܪ ܗܘܐ ܓܝܪ ܐܝܘܒ܆ ܕܕܠܡܐ ܚܛܘ ܒ̈ܢܝ ܘܨܚܝܘ ܠܐܠܗܐ ܒܠܒܗܘܢ	43. προς ψυχην οτι παρα φυσιν αυτης εστι το φυλασσειν το οξυ νοημα του μη πορνευειν εν τηι φρονησει αυτου οιομενην	+ ελεγεν γαρ ιωβ μη ποτε οι υιοι μου ημαρτον και τον θεον ωνειδισαν εν τηι καρδιαι αυτων .	Против душе која сматра да је неприродно држати ум будним и не блудити у свом унутрашњем свету:	Јер, рече Јов: Не дао Бог да су се огрешили синови моји и похулили на Бога у срцу свом.
2	44	Против помисли блуда	Јов. 7, 1.	ܡܕ ܠܘܩܒܠ ܢܦܫܐ ܕܡܢ ܕܝܘܐ ܕܙܢܝܘܬܐ ܐܬܢܣܝܬ ܢܣܝܘܢܐ ܪܒܐ ܕܐܐ ܡܬܡܠܠ: ܘܬܡܝܗܐ ܒܗ ܒܢܣܝܘܢܐ ܗܢܐ ܘܡܬܕܡܪܐ: ܕܐܝܟܢܐ ܗܘ ܗܢܐ ܕܝܘܐ ܠܐ ܒܗܬ ܘܠܐ ܕܚܠ܀	ܗܐ ܢܣܝܘܢܐ ܗܘ ܠܐܢܫܐ ܥܠ ܐܪܥܐ܆ ܘܐܝܟ ܝܘܡ̈ܝ ܐܓܝܪܐ ܐܝܬ ܚ̈ܝܘܗܝ	44. προς ψυχην υπο πορνειας δαιμονος δεινως και ανεκδιηγητως πεπειρασμενην και εν τουτωι τωι πειρασμωι εκθαμβον γενομενην θαυμαζουσαν οπως ουτος ο δαιμων ουκ αισχυνεται ουδε φοβειται	+ οτι (ιδου) πειρασμος των ανθρωπωι επι της γης και ωσπερ ημεραι μισθωτου η ζωη αυτου .	Против душе коју демон блуда искушава великим неизрецивим искушењима и која се толико силно чуди овоме искушењу да нити постиђује овог демона, нити га се боји:	Није ли искушење човеков живот на земљи, а дани његови нису ли као дани надничарски?
2	45	Против помисли блуда	Јов. 5, 14.	ܡܗ ܠܘܩܒܠ ܚܘܫܒܐ ܕܡܬܢܒܐ ܠܝ ܥܠ ܕܝ̈ܘܐ ܕܙܢܝܘܬܐ: ܕܐܬܝܢ ܘܡܝܫܝܢ ܠܗܕܡ̈ܝܢ ܘܡܘܩܕܝܢ ܠܗܘܢ ܀	ܢܡܘܫܘܢ ܒܛܗܪܐ ܐܝܟ ܕܒܚܫܘܟܐ. ܢܓܫܓܫܘܢ ܚܫܘܟܐ ܘܠܐ ܢܗܝܪܐ. ܘܡܛܥܐ ܠܗܘܢ ܐܝܟ ܪ̈ܘܝܐ	45. προς διαλογισμον προφητευοντα μοι περι πορνειας δαιμονων οτι ελθοντες ψηλαφησουσιν τα μελη ημων και εμπυρισουσιν	+ ερευνωσιν εν μεσημβριαι ωσπερ εν σκοτωι ψηλαφουσι σκοτος και ου φως (?) και πλαναι αυτους ως μεθυσους .	Против помисли која ми прориче да ће демони приступити, и да ће додирнути наше удове, и да ће их распалити:	Нека посред бела дана западну у таму и нека пипају у подне као усред ноћи.
2	46	Против помисли блуда	Јов. 34, 10–11.	ܡܘ ܠܘܩܒܠ ܕܝܘܐ ܕܙܢܝܘܬܐ ܕܐܠܨ ܠܗ ܠܐܝܣܪܐܝܠ: ܕܚܠܦ ܚ̈ܛܐ ܢܟܢܫ ܬܒܢܐ ܘܩܢܝ̈ܐ܀	ܚܣ ܠܝ ܕܐܪܫܥ ܩܕܡ ܡܪܝܐ. ܘܚܣ ܠܝ ܕܐܥܒܕ ܚܛܝܬܐ. ܡܛܠ ܕܠܒܪܢܫܐ ܐܝܟ ܥܒ̈ܕܘܗܝ ܦܪܥ ܠܗ	46. προς πορνειας δαιμονα τον Ισραηλ αντι σιτου αχυρα και καλαμους συναγειν θλιβοντα	+ μη μοι ειη εναντι κυριου ασεβησαι και μη μοι ειη αμαρτιαν ποιειν διοτι των ανθρωπωι αποδιδοι κατα τα εργα αυτου .	Против демона блуда који је приморао Израиљ да скупља сламу и трску уместо зрна пшенице:	Не дао Бог да сагрешим пред Господом и нарушим праведност пред Свемогућим. Јер, Он сваком човеку узвраћа према делима његовим.
2	47	Против помисли блуда	Ис. 14, 30.	ܡܙ ܠܘܩܒܠ ܢܦܫܐ ܕܠܐ ܚܟܡܐ: ܕܡܢ ܐܝܟܐ ܡܫܬܕܪܝܢ ܥܠܝܢ ܗܠܝܢ ܚܘܫ̈ܒܐ ܝܩ̈ܕܐ܀	ܢܦܩܝܢ ܡܢ ܦܘܡܗ ܠܡܦܐ̈ܕܐ ܐܝܟ ܓܘܡܪ̈ܐ ܕܢܘܪܐ	47. προς ψυχην ποθεν εις ημας ουτοι οι εμπυροι λογισμοι βαλλονται ουκ επιστα­μενην	+ εκπορευονται εκ στοματος αυτου λαμπαδες ωσπερ ανθρακες πυρος .	Против помисли блуда која ми говори: „Не могу ме утишати, нити уништити, ни гладовање, ни жеђање, ни много пошћење“:	Он ће семе твоје уништити глађу, и остатак твој Он ће побити.
2	48		Jes. 14, 30	ܡܚ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܙܢܝܘܬܐ ܕܐܡܪܐ ܠܝ: ܕܡܕܡ ܠܐ ܚܣܪ ܐܢܐ: ܘܠܐ ܡܬܚܒܠ ܐܢܐ ܡܢ ܟܦܢܐ ܘܨܗܝܐ ܘܡܢ ܨܘܡܐ ܣܓܝܐܐ܀	ܘܐܡܝܬ ܥܩܪܟܝ ܒܟܦܢܐ. ܘܕܡܫܬܚܪ ܡܢܟܝ ܢܬܩܛܠ	48. προς πορνειας λογισμον λεγοντα οτι ουδεν βλαπτομαι ουδε διαφθειφομαι απο λιμου και διψους και πολλης νηστειας	+ ανελει δε λιμωι την ριζαν σου και το καταλειμμα σου αποκταθησεται .		
2	49	Против помисли блуда	Ис. 32, 6.	ܡܛ ܠܘܩܒܠ ܕܝܘܐ ܕܒܪܥܝܢܝ ܡܠܟ ܠܝ: ܕܐܫܬܘܬܦ ܥܡ ܐܢܬܬܐ ܘܐܒܐ ܕܒ̈ܢܝܐ ܐܗܘܐ. ܘܠܐ ܗܟܢܐ ܐܗܘܐ ܡܬܟܬܫ ܒܟܦܢܐ ܥܡ ܚܘܫ̈ܒܐ ܕܙܢܝܘܬܐ܀	ܫܛܝܐ ܓܝܪ ܫܛܝܘܬܐ ܡܡܠܠ. ܘܠܒܗ ܚܫܠ ܥܘܠܐ. ܕܢܥܒܕ ܚܠܦܘܬܐ ܘܢܡܠܠ ܛܥܝܘܬܐ. ܘܢܣܪܩ ܢܦܫܐ ܕܟܦܢܐ. ܘܡܫܬܝܐ ܕܨܗܝܐ ܢܓܝܙ.	49. προς δαιμονα εν τηι διανοιαι συμβουλευοντα μοι συζυγηναι γυναικι και πατερα υιων γενεσθαι και μη ουτως εν λιμωι λογισμοις πορνικοις αγωνιζεσθαι	+ ο μωρος μωρα λαλει και η καρδια αυτου ματαια νοει του συ{ν}τελειν ανομιαν και λαλειν πλανησιν και διαφθειραι ψυχην πεινωσαν και ποτον διψωσης αφελειν .	Против демона који у мом унутрашњем свету предлаже да се оженим женом и да постанем отац синова, и да се не опирем блудним помислима гладовањем и жеђањем:	Јер, безумник изговара безумности, и срце његово измишља сујетне ствари, еда би чинио безакоње и говорио лажно против Господа, еда би расејао душе гладне и испразнио душе жедне.
2	50	Против помисли блуда	Јер. 20, 12.	ܢܢ ܠܘܬ ܡܪܝܐ܆ ܥܠ ܕܝ̈ܘܐ ܕܙܢܝܘܬܐ ܕܫܩܠܝܢ ܠܗܘܢ ܥ̈ܠܬܐ ܡܢ ܟܬ̈ܒܐ ܘܡܢ ܢܝܫ̈ܐ ܕܟܬܝܒܝܢ ܒܗܘܢ܀	ܡܪܝܐ ܚܝܠܬܢܐ ܒܚܪ ܙܕܩܐ: ܘܚܙܐ ܟܘ̈ܠܝܬܐ ܕܠܒܐ. ܐܚܙܐ ܦܘܪܥܢܟ ܡܢܗܘܢ: ܡܛܠ ܕܠܟ ܓܠܝܬ ܕܝ̈ܢܝ	50. εις κυριον περι πορνειας δαιμονων αιτιας αυτοις απο των τε γραφων και των εν αυτοις γεγραμμενων σκοπων λαμβανοντων	+ κυριε ισχυρε δοκιμαζων δικαια και συνιων νεφρους και καρδιας ιδοιμι την παρα σου εκδικησιν εν αυτοις οτι σοι απεκαλυψα την κρισιν μου .	Господу, поводом демона блуда који наводе изговоре из Писама и износе разлоге из онога што је написано у њима:	Господе над војскама, који кушаш праведника, који видиш бубреге и срце, дај да видим Твоју освету на њима, јер Теби поверих парницу своју.
2	51	Против помисли блуда	Плач. 1, 9.	ܢܐ: ܠܘܬ ܡܪܝܐ ܥܠ ܚܘܫ̈ܒܐ ܕܙܢܝܘܬܐ: ܕܐܓܪܘ ܒܝ.	ܚܙܝ ܡܪܝܐ̈ ܫܘܥܒܕܝ ܕܐܬܬܪܝܡ ܒܥܠܕܒܒܐ.	51. εις κυριον περι πορνειας λογισμων εν εμοι εμμενοντων· .		Господу, поводом помисли које су се населиле у мени:	Погледај, Господе, понижење моје, јер непријатељ мој ликује нада мном.
2	52	Против помисли блуда	Прич. 1, 11.	ܢܒ ܠܘܬ ܡܪܝܐ ܥܠ ܕܝܘܐ ܕܐܥܝܪܗ ܒܠܠܝܐ ܠܚܘܫܒܐ ܠܝܛܐ ܥܠ ܢܦܫܝ: ܘܕܠܚ ܟܠܗܝܢ ܨܘܪ̈ܬܗ ܕܦܪܨܘܦܐ܀	ܚܘܪ ܡܪܝܐ ܘܚܙܝ ܕܗܘܝܬ ܙܠܝܠܬܐ	52. εις κυριον περι δαιμονος νυκτι τον καταρατον λογισμον κατα της ψυχης μου επεγειραντος και πασαν μορφην του προσωπου ταραξαντος· .		Господу, поводом демона који ноћу износи оптужујућу помисао против душе моје и узнемирава свеколико обличије лица мога:	Погледај, Господе, и види како сам понижен.
2	53	Против помисли блуда	Плач. 2, 19.	ܢܓ ܠܘܬ ܢܦܫܐ ܕܢܦܠܬ ܒܚ̈ܙܘܢܐ ܡܫܟܪ̈ܐ ܕܠܠܝܐ܀	ܩܘܡܝ ܫܒܚܝ ܒܠܠܝܐ ܒܪܝܫ ܐܘܪ̈ܚܬܟܝ. ܐܫܘܕ ܐܝܟ ܡ̈ܝܐ ܠܒܟܝ ܠܘܩܒܠ ܐ̈ܦܝ ܥܠܝܐ.	53. προς ψυχην εν τοις βδελυκτοις νυκτος οραμασι πεσουσαν	+ αναστα αγαλλι­ασαι εν νυκτι εν αρχηι οδων σου κτλ .	Против душе које се стровалила у непристојна ноћна виђења:	Устани и радуј се у ноћи због почетка твоје страже, излиј срце своје као воду пред лицем Господњим.
2	54	Против помисли блуда	Прич. 3, 55–57.	ܢܕ ܠܘܬ ܡܪܝܐ ܥܠ ܕܝܘܐ ܕܙܢܝܘܬܐ: ܕܚܙܬܐ ܕܕܡܘܬܐ ܡܫܟܪܬܐ ܒܝܕ ܚܫܐ ܕܪܓܬܐ ܒܪܥܝܢܝ ܩܒܥ܀	ܩܪܝܬ ܫܡܟ ܡܪܝܐ܆ ܘܡܢ ܓܘܒܐ ܬܚܬܝܐ ܩܠܝ ܫܡܥܬ. ܠܐ ܬܪܟܢ ܐܕܢܟ. ܐܠܐ ܐܪܘܚ ܠܝ ܘܦܪܘܩܝܢܝ. ܩܪܒܬ ܒܝܘܡܐ ܕܩܪܝܬܟ܆ ܘܐܡܪܬ ܠܝ ܠܐ ܬܕܚܠ	54. εις κυριον περι πορνειας δαιμονος οψιν ειδους μιαρου δια παθους επιθυ­μιας εν τηι διανοιαι μου στηριζοντος	+ επεκαλεσαμην το ονομα σου κυριε και εκ λακκου κατωτατου φωνην μου ηκουσας· μη κλινηις (?) το ους σου αλλα πλατυνε μοι και σωσον με· ηγγισας ηι ημεραι επεκαλεσαμην σε και ειπες μοι μη φοβου .	Господу, поводом демона блуда који посредством острашћене жеље устискује у мом унутрашњем свету непристојно виђење:	Призивах име твоје, Господе, из јаме најдубље. Ти чу глас мој; не зачепљуј уха својега од уздисања мојега и од вике моје. Приступао си кад те призивах, и говорио си: Немој се бојати.
2	55	Против помисли блуда	Дан. 4, 25.	ܢܗ: ܠܘܩܒܠ ܕܝܘܐ ܕܙܢܝܘܬܐ: ܕܡܐ ܕܐܘܦܝܘ ܚܘܫ̈ܒܘܗܝ ܫܪܝ ܒܨܐ ܘܡܐܫ ܠܗܘܢ ܠܗܕܡ̈ܘܗܝ ܕܦܓܪܐ ܝܕܥܝܢ ܕܝܢ ܡܢܐ ܐܡܪ ܐܢܐ܆ ܐܝܠܝܢ ܕܐܬܢܣܝܘ ܡܢ ܕܝܘܐ ܗܢܐ. ܘܠܐ ܠܗܘܢ ܕܝܢ ܠܐܝܠܝܢ ܕܡܬܟܬܫܝܢ ܥܡܗ ܕܒܙܒܢܐ ܕܩܪܒܐ ܣܘܓܐܗ ܕܐܠܝܐ ܘܕܝܡܡܐ. ܢܗܘܘܢ ܡܗܠܟܝܢ ܒܩܠܝܬܐ. ܘܡܨܠܝܢ. ܘܟܕ ܝܬܒܝܢ ܢܗܘܘܢ ܚܛܦܝܢ ܩܠܝܠ ܡܢ ܫܢܬܐ. ܘܢܗܘܘܢ ܠܒܝܫܝܢ ܣܩ̈ܐ ܩܫ̈ܝܐ ܘܢܗܘܘܢ ܥܪܩܝܢ ܡܢ ܣܒܥܘܬܐ ܕܠܚܡܐ ܘܕܡ̈ܝܐ. ܢܣܬܟܠܘܢ ܕܝܢ ܐܝܠܝܢ ܕܟܬܫܝܢ ܒܗܢܐ ܐܓܘܢܐ܆ ܕܟܕ ܒܚܝܠܐ ܕܐܠܗܐ ܠܗܢܐ ܕܝܘܐ ܢܙܟܘܢ. ܩܢܝܢ ܢܟܦܘܬܐ ܘܠܐ ܡܬܚܛܦܝܢ܀	ܡܠܟܘܬܟ ܥܒܪܬ ܡܢܟ ܘܡܢ ܐܢܫܐ ܪ̈ܕܦܝܢ ܠܟ ܘܥܡ ܚܝܘܬ ܒܪܐ ܢܗܘܐ ܡܥܡܪܟ. ܘܥܣܒܐ ܐܝܟ ܬܘܪܐ ܢܘܟܠܘܢܟ. ܘܡܢ ܛܠܐ ܕܫܡܝܐ ܬܨܛܒܥ ܘܫܒܥܐ ܥ̈ܕܢܝܢ ܢܬܚܠܦܘܢ ܥܠܝܟ. ܥܕܡܐ ܕܬܕܥ ܕܫܠܝܛ ܗܘ ܐܠܗܐ ܡܪܝܡܐ ܒܡܠܟܘܬܐ ܕܐܢܫܐ. ܕܠܡܢ ܕܨܒܐ ܢܬܠܝܗ.	55. προς πορνειας δαιμονα οταν παυσωνται οι λογισμοι αρξαμενον ερευναν και ψηλαφειν τα σωματος μελη· ισασι δε τι λεγω οι υπο τουτου του δαιμονος πεπειρασμενοι· ωφελει δε τους αυτωι αγωνιζομενους καιρωι πολεμου το πολυ της νυκτος και της ημερας εν τηι κελληι περιπατειν και προσευχειν και καθιζομενους ολιγον υπνου αρπασαι· και ενδυσασθων σκληρους σακκους και πλησμονην αρτου και υδατος φευγετωσαν· συνιωσι δε οι τουτον τον αγωνα μαχομενοι οτι εαν εαν εν δυναμει του κυριου τουτον τον δαιμονα νικησωσι, σωφροσυνην κεκτηνται αναφαιρετον	+ η βασιλεια σου απηρται σου και σε εκδιωξουσιν απο των ανθρωπων και μετα θηριων αγριων εσται η κατοικια σου κτλ .	Против демона блуда који најпре напада помислима, а након што помисли престану, почиње да опипава и додирује телесне удове. Они који су били искушавани овим демоном разумеће шта говорим. Због тога они који се боре с њим морају у тренутку напада проводити већи део ноћи и већи део дана ходајући по келији и молећи се. Осим тога, требало би да ухвате нешто мало сна и то само у седећем положају, те су дужни да носе грубу кострет и избегавају да се презасите хлебом и водом. И нека они који су се упустили у ово надметање схвате да ће – након што Божијом силом победе овог демона – задобити непропадљиву целомудреност:	И удаљиће те од људи, и дом ће ти бити међу дивљим зверима, и храниће те травом као вола, и под росом небеском боравићеш, и седам пута ће проћи преко тебе, док не спознап да Свевишњи влада царством човечијим и да ће га даровати коме хоће.
